 Trial 	 Generation 	 CoverEpsilon 	 PackingEpsilon 	 MinArchiveSparseness 	 ArchiveSize 
 2 	20 	12 	4 	4.33333333333 	5
 2 	21 	12 	4 	4.33333333333 	5
 2 	22 	12 	4 	4.33333333333 	6
 2 	23 	11 	4 	4.0 	7
 2 	24 	11 	4 	4.0 	7
 2 	25 	11 	4 	4.0 	7
 2 	26 	11 	4 	4.0 	7
 2 	27 	11 	4 	4.0 	7
 2 	28 	11 	4 	2.66666666667 	8
 2 	29 	10 	5 	2.66666666667 	9
 2 	30 	10 	5 	2.66666666667 	9
 2 	31 	10 	5 	2.66666666667 	10
 2 	32 	10 	5 	2.66666666667 	10
 2 	33 	10 	5 	2.66666666667 	11
 2 	34 	10 	5 	2.0 	12
 2 	35 	10 	6 	2.0 	13
 2 	36 	10 	6 	2.0 	13
 2 	37 	10 	6 	2.0 	13
 2 	38 	9 	6 	2.0 	14
 2 	39 	9 	6 	2.0 	15
 2 	40 	9 	6 	2.0 	15
 2 	41 	9 	6 	2.0 	16
 2 	42 	9 	6 	2.0 	17
 2 	43 	9 	6 	2.0 	17
 2 	44 	9 	6 	2.0 	17
 2 	45 	9 	6 	2.0 	18
 2 	46 	9 	6 	2.0 	18
 2 	47 	9 	6 	2.0 	18
 2 	48 	9 	6 	2.0 	19
 2 	49 	9 	6 	2.0 	20
 2 	50 	9 	6 	2.0 	20
 2 	51 	9 	6 	2.0 	21
 2 	52 	8 	6 	2.0 	22
 2 	53 	9 	6 	2.0 	23
 2 	54 	9 	6 	2.0 	24
 2 	55 	8 	6 	2.0 	25
 2 	56 	8 	6 	2.0 	26
 2 	57 	9 	6 	2.0 	27
 2 	58 	8 	6 	2.0 	28
 2 	59 	8 	6 	2.0 	29
 2 	60 	8 	6 	2.0 	29
 2 	61 	8 	6 	2.0 	30
 2 	62 	8 	6 	2.0 	31
 2 	63 	8 	6 	2.0 	31
 2 	64 	8 	6 	2.0 	32
 2 	65 	8 	6 	2.0 	33
 2 	66 	8 	6 	2.0 	33
 2 	67 	8 	6 	2.0 	34
 2 	68 	8 	6 	2.0 	35
 2 	69 	8 	6 	2.0 	35
 2 	70 	8 	6 	2.0 	35
 2 	71 	8 	6 	2.0 	36
 2 	72 	8 	6 	2.0 	37
 2 	73 	8 	6 	2.0 	38
 2 	74 	8 	6 	2.0 	38
 2 	75 	8 	6 	2.0 	38
 2 	76 	8 	6 	2.0 	39
 2 	77 	8 	6 	2.0 	39
 2 	78 	8 	6 	2.0 	40
